Main time: 20 us
Process 1 time: 30 us
Process 2 time: 24 us
Process 3 time: 3 us
Process 4 time: 3 us
Process 5 time: 2 us
Process 6 time: 6 us
Process 7 time: 3 us
Process 8 time: 5 us
Process 9 time: 3 us
Process 10 time: 2 us
Process 11 time: 5 us
Process 12 time: 3 us
Process 13 time: 3 us
Process 14 time: 3 us
Process 15 time: 3 us
Process 16 time: 3 us
Process 17 time: 3 us
Process 18 time: 3 us
Process 19 time: 9 us
Process 20 time: 3 us
Process 21 time: 3 us
Process 22 time: 3 us
Process 23 time: 3 us
Process 24 time: 2 us
Process 25 time: 3 us
Process 26 time: 2 us
Process 27 time: 3 us
Process 28 time: 5 us
Process 29 time: 3 us
Process 30 time: 5 us
Process 31 time: 3 us
Process 32 time: 3 us
Process 33 time: 3 us
Process 34 time: 2 us
Process 35 time: 12 us
Process 36 time: 3 us
Process 37 time: 9 us
Process 38 time: 3 us
Process 39 time: 3 us
Process 40 time: 3 us
Process 41 time: 4 us
Process 42 time: 2 us
Process 43 time: 5 us
Process 44 time: 2 us
Process 45 time: 3 us
Process 46 time: 3 us
Process 47 time: 3 us
Process 48 time: 5 us
Process 49 time: 2 us
Process 50 time: 6 us
Process 51 time: 3 us
Process 52 time: 3 us
Process 53 time: 3 us
Process 54 time: 3 us
Process 55 time: 3 us
Process 56 time: 3 us
Process 57 time: 3 us
Process 58 time: 5 us
Process 59 time: 10 us
Process 60 time: 3 us
Process 61 time: 3 us
Process 62 time: 3 us
Process 63 time: 3 us
