Main time: 27 us
Process 1 time: 19 us
Process 2 time: 19 us
Process 3 time: 2 us
Process 4 time: 2 us
Process 5 time: 1 us
Process 6 time: 2 us
Process 7 time: 2 us
Process 8 time: 1 us
Process 9 time: 1 us
Process 10 time: 2 us
Process 11 time: 1 us
Process 12 time: 2 us
Process 13 time: 2 us
Process 14 time: 2 us
Process 15 time: 1 us
Process 16 time: 1 us
Process 17 time: 2 us
Process 18 time: 3 us
Process 19 time: 1 us
Process 20 time: 1 us
Process 21 time: 2 us
Process 22 time: 1 us
Process 23 time: 1 us
Process 24 time: 1 us
Process 25 time: 2 us
Process 26 time: 1 us
Process 27 time: 1 us
Process 28 time: 2 us
Process 29 time: 1 us
Process 30 time: 2 us
Process 31 time: 2 us
