Main time: 36 us
Process 1 time: 86 us
Process 2 time: 23 us
Process 3 time: 4 us
Process 4 time: 4 us
Process 5 time: 4 us
Process 6 time: 13 us
Process 7 time: 6 us
Process 8 time: 17 us
Process 9 time: 4 us
Process 10 time: 6 us
Process 11 time: 4 us
Process 12 time: 4 us
Process 13 time: 4 us
Process 14 time: 3 us
Process 15 time: 4 us
Process 16 time: 4 us
Process 17 time: 4 us
Process 18 time: 4 us
Process 19 time: 4 us
Process 20 time: 4 us
Process 21 time: 4 us
Process 22 time: 4 us
Process 23 time: 6 us
Process 24 time: 4 us
Process 25 time: 4 us
Process 26 time: 5 us
Process 27 time: 6 us
Process 28 time: 11 us
Process 29 time: 4 us
Process 30 time: 4 us
Process 31 time: 5 us
Process 32 time: 4 us
Process 33 time: 5 us
Process 34 time: 4 us
Process 35 time: 4 us
Process 36 time: 3 us
Process 37 time: 6 us
Process 38 time: 4 us
Process 39 time: 4 us
Process 40 time: 4 us
Process 41 time: 4 us
Process 42 time: 6 us
Process 43 time: 4 us
Process 44 time: 5 us
Process 45 time: 4 us
Process 46 time: 4 us
Process 47 time: 3 us
Process 48 time: 3 us
Process 49 time: 4 us
Process 50 time: 3 us
Process 51 time: 5 us
Process 52 time: 4 us
Process 53 time: 3 us
Process 54 time: 4 us
Process 55 time: 3 us
Process 56 time: 4 us
Process 57 time: 3 us
Process 58 time: 3 us
Process 59 time: 3 us
Process 60 time: 4 us
Process 61 time: 5 us
Process 62 time: 3 us
Process 63 time: 3 us
Process 64 time: 3 us
Process 65 time: 4 us
Process 66 time: 6 us
Process 67 time: 4 us
Process 68 time: 6 us
Process 69 time: 6 us
Process 70 time: 3 us
Process 71 time: 4 us
Process 72 time: 3 us
Process 73 time: 4 us
Process 74 time: 3 us
Process 75 time: 6 us
Process 76 time: 4 us
Process 77 time: 4 us
Process 78 time: 4 us
Process 79 time: 5 us
Process 80 time: 25 us
Process 81 time: 3 us
Process 82 time: 6 us
Process 83 time: 4 us
Process 84 time: 4 us
Process 85 time: 3 us
Process 86 time: 4 us
Process 87 time: 9 us
Process 88 time: 4 us
Process 89 time: 4 us
