Main time: 18 us
Process 1 time: 30 us
Process 2 time: 15 us
Process 3 time: 3 us
Process 4 time: 2 us
Process 5 time: 2 us
Process 6 time: 2 us
Process 7 time: 2 us
Process 8 time: 2 us
Process 9 time: 2 us
Process 10 time: 2 us
Process 11 time: 2 us
Process 12 time: 3 us
Process 13 time: 22 us
Process 14 time: 2 us
Process 15 time: 5 us
Process 16 time: 2 us
Process 17 time: 2 us
Process 18 time: 2 us
Process 19 time: 2 us
Process 20 time: 5 us
Process 21 time: 2 us
Process 22 time: 3 us
Process 23 time: 2 us
Process 24 time: 2 us
Process 25 time: 2 us
Process 26 time: 2 us
Process 27 time: 2 us
Process 28 time: 2 us
Process 29 time: 2 us
Process 30 time: 2 us
Process 31 time: 2 us
Process 32 time: 2 us
Process 33 time: 2 us
Process 34 time: 2 us
Process 35 time: 2 us
Process 36 time: 3 us
Process 37 time: 2 us
Process 38 time: 2 us
Process 39 time: 1 us
Process 40 time: 2 us
Process 41 time: 2 us
Process 42 time: 2 us
Process 43 time: 2 us
Process 44 time: 2 us
